number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
50,10,10,0.5,0.1,3,99,2,3,159
50,10,10,0.5,0.1,3,100,1,1,161
50,10,10,0.5,0.1,3,100,1,3,159
50,10,10,0.5,0.1,3,100,1,1,161
50,10,10,0.5,0.1,3,103,2,3,159
50,10,10,0.5,0.1,3,99,2,3,159
50,10,10,0.5,0.1,3,100,1,2,160
50,10,10,0.5,0.1,3,100,1,3,159
50,10,10,0.5,0.1,3,101,0,2,160
50,10,10,0.5,0.1,3,104,1,3,159
50,10,10,0.5,0.1,3,99,2,3,159
50,10,10,0.5,0.1,3,99,2,1,161
50,10,10,0.5,0.1,3,100,1,2,160
50,10,10,0.5,0.1,3,101,0,2,160
50,10,10,0.5,0.1,3,103,2,2,160
50,10,10,0.5,0.2,3,99,2,4,158
50,10,10,0.5,0.2,3,100,1,2,160
50,10,10,0.5,0.2,3,100,1,3,159
50,10,10,0.5,0.2,3,101,0,2,160
50,10,10,0.5,0.2,3,104,1,3,159
50,10,10,0.5,0.2,3,99,2,4,158
50,10,10,0.5,0.2,3,100,1,1,161
50,10,10,0.5,0.2,3,100,1,2,160
50,10,10,0.5,0.2,3,100,1,1,161
50,10,10,0.5,0.2,3,103,2,3,159
50,10,10,0.5,0.2,3,99,2,3,159
50,10,10,0.5,0.2,3,100,1,2,160
50,10,10,0.5,0.2,3,100,1,3,159
50,10,10,0.5,0.2,3,101,0,2,160
50,10,10,0.5,0.2,3,104,1,3,159
50,10,10,0.5,0.3,3,100,1,3,159
50,10,10,0.5,0.3,3,100,1,1,161
50,10,10,0.5,0.3,3,100,1,3,159
50,10,10,0.5,0.3,3,101,0,2,160
50,10,10,0.5,0.3,3,104,1,3,159
50,10,10,0.5,0.3,3,99,2,3,159
50,10,10,0.5,0.3,3,100,1,1,161
50,10,10,0.5,0.3,3,100,1,3,159
50,10,10,0.5,0.3,3,101,0,2,160
50,10,10,0.5,0.3,3,104,1,3,159
50,10,10,0.5,0.3,3,98,3,3,159
50,10,10,0.5,0.3,3,100,1,1,161
50,10,10,0.5,0.3,3,100,1,3,159
50,10,10,0.5,0.3,3,100,1,2,160
50,10,10,0.5,0.3,3,103,2,3,159
50,10,10,0.5,0.4,3,99,2,3,159
50,10,10,0.5,0.4,3,100,1,2,160
50,10,10,0.5,0.4,3,100,1,3,159
50,10,10,0.5,0.4,3,100,1,2,160
50,10,10,0.5,0.4,3,104,1,3,159
50,10,10,0.5,0.4,3,99,2,3,159
50,10,10,0.5,0.4,3,100,1,2,160
50,10,10,0.5,0.4,3,100,1,3,159
50,10,10,0.5,0.4,3,101,0,2,160
50,10,10,0.5,0.4,3,103,2,3,159
50,10,10,0.5,0.4,3,100,1,4,158
50,10,10,0.5,0.4,3,100,1,2,160
50,10,10,0.5,0.4,3,100,1,3,159
50,10,10,0.5,0.4,3,100,1,2,160
50,10,10,0.5,0.4,3,104,1,3,159
50,10,10,0.5,0.5,3,100,1,3,159
50,10,10,0.5,0.5,3,100,1,2,160
50,10,10,0.5,0.5,3,100,1,3,159
50,10,10,0.5,0.5,3,100,1,2,160
50,10,10,0.5,0.5,3,103,2,3,159
50,10,10,0.5,0.5,3,99,2,3,159
50,10,10,0.5,0.5,3,100,1,1,161
50,10,10,0.5,0.5,3,100,1,3,159
50,10,10,0.5,0.5,3,100,1,2,160
50,10,10,0.5,0.5,3,104,1,3,159
50,10,10,0.5,0.5,3,100,1,3,159
50,10,10,0.5,0.5,3,100,1,1,161
50,10,10,0.5,0.5,3,100,1,3,159
50,10,10,0.5,0.5,3,100,1,2,160
50,10,10,0.5,0.5,3,103,2,3,159
50,10,10,0.5,0.6,3,100,1,3,159
50,10,10,0.5,0.6,3,100,1,2,160
50,10,10,0.5,0.6,3,100,1,3,159
50,10,10,0.5,0.6,3,100,1,2,160
50,10,10,0.5,0.6,3,103,2,3,159
50,10,10,0.5,0.6,3,99,2,3,159
50,10,10,0.5,0.6,3,100,1,1,161
50,10,10,0.5,0.6,3,100,1,3,159
50,10,10,0.5,0.6,3,100,1,2,160
50,10,10,0.5,0.6,3,103,2,3,159
50,10,10,0.5,0.6,3,99,2,3,159
50,10,10,0.5,0.6,3,100,1,1,161
50,10,10,0.5,0.6,3,100,1,3,159
50,10,10,0.5,0.6,3,100,1,2,160
50,10,10,0.5,0.6,3,103,2,3,159
50,10,10,0.5,0.7,3,98,3,3,159
50,10,10,0.5,0.7,3,100,1,1,161
50,10,10,0.5,0.7,3,100,1,3,159
50,10,10,0.5,0.7,3,100,1,2,160
50,10,10,0.5,0.7,3,103,2,2,160
50,10,10,0.5,0.7,3,99,2,3,159
50,10,10,0.5,0.7,3,100,1,1,161
50,10,10,0.5,0.7,3,100,1,3,159
50,10,10,0.5,0.7,3,100,1,1,161
50,10,10,0.5,0.7,3,103,2,3,159
50,10,10,0.5,0.7,3,100,1,3,159
50,10,10,0.5,0.7,3,100,1,1,161
50,10,10,0.5,0.7,3,100,1,2,160
50,10,10,0.5,0.7,3,100,1,2,160
50,10,10,0.5,0.7,3,103,2,2,160
50,10,10,0.5,0.8,3,99,2,3,159
50,10,10,0.5,0.8,3,100,1,0,162
50,10,10,0.5,0.8,3,100,1,2,160
50,10,10,0.5,0.8,3,100,1,1,161
50,10,10,0.5,0.8,3,103,2,2,160
50,10,10,0.5,0.8,3,99,2,3,159
50,10,10,0.5,0.8,3,100,1,0,162
50,10,10,0.5,0.8,3,100,1,2,160
50,10,10,0.5,0.8,3,100,1,1,161
50,10,10,0.5,0.8,3,103,2,2,160
50,10,10,0.5,0.8,3,99,2,2,160
50,10,10,0.5,0.8,3,100,1,0,162
50,10,10,0.5,0.8,3,100,1,2,160
50,10,10,0.5,0.8,3,100,1,1,161
50,10,10,0.5,0.8,3,103,2,2,160
50,10,10,0.5,0.9,3,99,2,3,159
50,10,10,0.5,0.9,3,100,1,0,162
50,10,10,0.5,0.9,3,100,1,2,160
50,10,10,0.5,0.9,3,100,1,1,161
50,10,10,0.5,0.9,3,103,2,2,160
50,10,10,0.5,0.9,3,99,2,4,158
50,10,10,0.5,0.9,3,100,1,0,162
50,10,10,0.5,0.9,3,100,1,2,160
50,10,10,0.5,0.9,3,98,3,1,161
50,10,10,0.5,0.9,3,103,2,2,160
50,10,10,0.5,0.9,3,99,2,3,159
50,10,10,0.5,0.9,3,100,1,0,162
50,10,10,0.5,0.9,3,100,1,2,160
50,10,10,0.5,0.9,3,99,2,0,162
50,10,10,0.5,0.9,3,103,2,2,160
50,10,10,0.5,1.0,3,99,2,1,161
