number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
50,10,10,0.0,0.5,3,100,1,2,160
50,10,10,0.0,0.5,3,96,5,4,158
50,10,10,0.0,0.5,3,85,16,5,157
50,10,10,0.0,0.5,3,98,3,5,157
50,10,10,0.0,0.5,3,80,21,4,158
50,10,10,0.0,0.5,3,99,2,5,157
50,10,10,0.0,0.5,3,96,5,1,161
50,10,10,0.0,0.5,3,98,3,1,161
50,10,10,0.0,0.5,3,95,6,1,161
50,10,10,0.0,0.5,3,98,3,1,161
50,10,10,0.0,0.5,3,97,4,2,160
50,10,10,0.0,0.5,3,97,4,2,160
50,10,10,0.0,0.5,3,100,5,12,150
50,10,10,0.0,0.5,3,87,18,2,160
50,10,10,0.0,0.5,3,101,4,4,158
50,10,10,0.25,0.5,3,98,3,3,159
50,10,10,0.25,0.5,3,90,11,4,158
50,10,10,0.25,0.5,3,101,0,4,158
50,10,10,0.25,0.5,3,98,3,3,159
50,10,10,0.25,0.5,3,98,3,5,157
50,10,10,0.25,0.5,3,98,3,5,157
50,10,10,0.25,0.5,3,91,10,1,161
50,10,10,0.25,0.5,3,95,6,1,161
50,10,10,0.25,0.5,3,92,9,2,160
50,10,10,0.25,0.5,3,95,6,1,161
50,10,10,0.25,0.5,3,100,1,1,161
50,10,10,0.25,0.5,3,94,7,1,161
50,10,10,0.25,0.5,3,100,5,5,157
50,10,10,0.25,0.5,3,97,8,4,158
50,10,10,0.25,0.5,3,99,6,2,160
50,10,10,0.5,0.5,3,98,3,7,155
50,10,10,0.5,0.5,3,101,0,2,160
50,10,10,0.5,0.5,3,101,0,2,160
50,10,10,0.5,0.5,3,96,5,5,157
50,10,10,0.5,0.5,3,81,20,8,154
50,10,10,0.5,0.5,3,92,9,3,159
50,10,10,0.5,0.5,3,90,11,1,161
50,10,10,0.5,0.5,3,90,11,1,161
50,10,10,0.5,0.5,3,81,20,3,159
50,10,10,0.5,0.5,3,88,13,2,160
50,10,10,0.5,0.5,3,99,2,2,160
50,10,10,0.5,0.5,3,94,7,1,161
50,10,10,0.5,0.5,3,100,5,4,158
50,10,10,0.5,0.5,3,100,5,5,157
50,10,10,0.5,0.5,3,97,8,5,157
50,10,10,0.75,0.5,3,96,5,3,159
50,10,10,0.75,0.5,3,99,2,3,159
50,10,10,0.75,0.5,3,101,0,4,158
50,10,10,0.75,0.5,3,96,5,4,158
50,10,10,0.75,0.5,3,96,5,2,160
50,10,10,0.75,0.5,3,88,13,4,158
50,10,10,0.75,0.5,3,96,5,2,160
50,10,10,0.75,0.5,3,81,20,3,159
50,10,10,0.75,0.5,3,93,8,1,161
50,10,10,0.75,0.5,3,95,6,1,161
50,10,10,0.75,0.5,3,94,7,1,161
50,10,10,0.75,0.5,3,94,7,1,161
50,10,10,0.75,0.5,3,100,5,6,156
50,10,10,0.75,0.5,3,94,11,8,154
50,10,10,0.75,0.5,3,91,14,3,159
50,10,10,1.0,0.5,3,97,4,2,160
50,10,10,1.0,0.5,3,99,2,3,159
50,10,10,1.0,0.5,3,101,0,2,160
50,10,10,1.0,0.5,3,82,19,4,158
50,10,10,1.0,0.5,3,96,5,4,158
50,10,10,1.0,0.5,3,98,3,3,159
50,10,10,1.0,0.5,3,95,6,1,161
50,10,10,1.0,0.5,3,79,22,2,160
50,10,10,1.0,0.5,3,93,8,4,158
50,10,10,1.0,0.5,3,97,4,2,160
50,10,10,1.0,0.5,3,100,1,1,161
50,10,10,1.0,0.5,3,99,2,5,157
50,10,10,1.0,0.5,3,101,4,5,157
50,10,10,1.0,0.5,3,103,2,3,159
50,10,10,1.0,0.5,3,96,9,2,160
