number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
50,10,10,0.5,0.5,0,101,0,3,159
50,10,10,0.5,0.5,0,101,0,3,159
50,10,10,0.5,0.5,0,94,7,5,157
50,10,10,0.5,0.5,0,94,7,2,160
50,10,10,0.5,0.5,0,93,8,3,159
50,10,10,0.5,0.5,0,100,1,6,156
50,10,10,0.5,0.5,0,80,21,1,161
50,10,10,0.5,0.5,0,96,5,1,161
50,10,10,0.5,0.5,0,95,6,2,160
50,10,10,0.5,0.5,0,96,5,2,160
50,10,10,0.5,0.5,0,95,6,1,161
50,10,10,0.5,0.5,0,95,6,1,161
50,10,10,0.5,0.5,0,99,6,4,158
50,10,10,0.5,0.5,0,97,8,4,158
50,10,10,0.5,0.5,0,99,6,4,158
50,10,10,0.5,0.5,1,100,1,6,156
50,10,10,0.5,0.5,1,101,0,2,160
50,10,10,0.5,0.5,1,99,2,3,159
50,10,10,0.5,0.5,1,90,11,5,157
50,10,10,0.5,0.5,1,97,4,4,158
50,10,10,0.5,0.5,1,88,13,5,157
50,10,10,0.5,0.5,1,97,4,3,159
50,10,10,0.5,0.5,1,95,6,1,161
50,10,10,0.5,0.5,1,95,6,2,160
50,10,10,0.5,0.5,1,96,5,3,159
50,10,10,0.5,0.5,1,97,4,2,160
50,10,10,0.5,0.5,1,98,3,2,160
50,10,10,0.5,0.5,1,100,5,4,158
50,10,10,0.5,0.5,1,98,7,2,160
50,10,10,0.5,0.5,1,96,9,3,159
50,10,10,0.5,0.5,2,101,0,2,160
50,10,10,0.5,0.5,2,101,0,4,158
50,10,10,0.5,0.5,2,101,0,9,153
50,10,10,0.5,0.5,2,91,10,4,158
50,10,10,0.5,0.5,2,100,1,4,158
50,10,10,0.5,0.5,2,95,6,7,155
50,10,10,0.5,0.5,2,98,3,4,158
50,10,10,0.5,0.5,2,96,5,1,161
50,10,10,0.5,0.5,2,94,7,1,161
50,10,10,0.5,0.5,2,92,9,1,161
50,10,10,0.5,0.5,2,99,2,5,157
50,10,10,0.5,0.5,2,97,4,1,161
50,10,10,0.5,0.5,2,99,6,4,158
50,10,10,0.5,0.5,2,91,14,4,158
50,10,10,0.5,0.5,2,92,13,3,159
50,10,10,0.5,0.5,3,100,1,2,160
50,10,10,0.5,0.5,3,99,2,3,159
50,10,10,0.5,0.5,3,99,2,2,160
50,10,10,0.5,0.5,3,94,7,2,160
50,10,10,0.5,0.5,3,94,7,4,158
50,10,10,0.5,0.5,3,99,2,5,157
50,10,10,0.5,0.5,3,89,12,1,161
50,10,10,0.5,0.5,3,97,4,3,159
50,10,10,0.5,0.5,3,94,7,1,161
50,10,10,0.5,0.5,3,101,0,7,155
50,10,10,0.5,0.5,3,96,5,1,161
50,10,10,0.5,0.5,3,98,3,6,156
50,10,10,0.5,0.5,3,91,14,4,158
50,10,10,0.5,0.5,3,99,6,9,153
50,10,10,0.5,0.5,3,102,3,8,154
